ts_code,trade_date,up_limit,down_limit
688718.SH,20251118,18.32,12.22
688717.SH,20251118,81.36,54.24
688716.SH,20251118,46.21,30.81
688711.SH,20251118,27.97,18.65
688710.SH,20251118,57.1,38.06
688709.SH,20251118,48.12,32.08
688708.SH,20251118,78.13,52.09
688707.SH,20251118,22.03,14.69
688702.SH,20251118,144.92,96.62
688701.SH,20251118,13.19,8.79
688700.SH,20251118,43.8,29.2
688699.SH,20251118,49.37,32.91
688698.SH,20251118,90.53,60.35
688697.SH,20251118,18.96,12.64
688696.SH,20251118,138.59,92.39
688695.SH,20251118,37.86,25.24
688693.SH,20251118,46.68,31.12
688692.SH,20251118,304.9,203.26
688691.SH,20251118,136.21,90.81
688690.SH,20251118,36.24,24.16
688689.SH,20251118,31.64,21.1
688687.SH,20251118,33.36,22.24
688686.SH,20251118,140.51,93.67
688685.SH,20251118,78.6,52.4
688683.SH,20251118,39.72,26.48
688682.SH,20251118,39.78,26.52
688681.SH,20251118,22.68,15.12
688680.SH,20251118,55.19,36.79
688679.SH,20251118,31.87,21.25
688678.SH,20251118,29.71,19.81
688677.SH,20251118,57.32,38.22
688676.SH,20251118,96.0,64.0
688671.SH,20251118,29.96,19.98
688670.SH,20251118,31.26,20.84
688669.SH,20251118,32.08,21.38
688668.SH,20251118,105.84,70.56
688667.SH,20251118,71.77,47.85
688665.SH,20251118,58.06,38.7
688663.SH,20251118,51.71,34.47
688662.SH,20251118,48.38,32.26
688661.SH,20251118,55.07,36.71
688660.SH,20251118,19.63,13.09
688659.SH,20251118,13.82,9.22
688658.SH,20251118,25.46,16.98
688657.SH,20251118,70.56,47.04
688656.SH,20251118,221.46,147.64
688655.SH,20251118,22.26,14.84
688653.SH,20251118,14.7,9.8
688652.SH,20251118,109.44,72.96
688651.SH,20251118,48.36,32.24
688648.SH,20251118,61.7,41.14
688646.SH,20251118,44.53,29.69
688639.SH,20251118,45.12,30.08
688638.SH,20251118,51.53,34.35
688636.SH,20251118,41.02,27.34
688633.SH,20251118,28.68,19.12
688631.SH,20251118,77.28,51.52
688630.SH,20251118,137.14,91.42
688629.SH,20251118,102.58,68.38
688628.SH,20251118,38.81,25.87
688627.SH,20251118,238.68,159.12
688626.SH,20251118,60.17,40.11
688625.SH,20251118,46.52,31.02
688623.SH,20251118,90.84,60.56
688622.SH,20251118,160.27,106.85
688621.SH,20251118,70.96,47.3
688620.SH,20251118,14.16,9.44
688619.SH,20251118,18.59,12.39
688618.SH,20251118,31.79,21.19
688617.SH,20251118,326.69,217.79
688616.SH,20251118,15.94,10.62
688615.SH,20251118,246.0,164.0
688613.SH,20251118,25.94,17.3
688612.SH,20251118,39.22,26.14
688611.SH,20251118,59.05,39.37
688610.SH,20251118,77.23,51.49
688609.SH,20251118,12.44,8.3
688608.SH,20251118,256.62,171.08
688607.SH,20251118,35.05,23.37
688606.SH,20251118,83.33,55.55
688605.SH,20251118,72.18,48.12
688603.SH,20251118,87.53,58.35
688602.SH,20251118,12.84,8.56
688601.SH,20251118,47.75,31.83
688600.SH,20251118,28.69,19.13
688599.SH,20251118,24.82,16.54
688598.SH,20251118,38.28,25.52
688597.SH,20251118,11.12,7.42
688596.SH,20251118,35.39,23.59
688595.SH,20251118,40.3,26.86
688593.SH,20251118,27.94,18.62
688592.SH,20251118,48.62,32.42
688591.SH,20251118,52.39,34.93
688590.SH,20251118,23.66,15.78
688589.SH,20251118,27.25,18.17
688588.SH,20251118,18.16,12.1
688586.SH,20251118,13.68,9.12
688585.SH,20251118,139.39,92.93
688584.SH,20251118,26.68,17.78
688583.SH,20251118,104.47,69.65
688582.SH,20251118,69.66,46.44
688581.SH,20251118,73.99,49.33
688580.SH,20251118,57.34,38.22
688579.SH,20251118,14.03,9.35
688578.SH,20251118,117.6,78.4
688577.SH,20251118,144.74,96.5
688576.SH,20251118,80.62,53.74
688575.SH,20251118,18.86,12.58
688573.SH,20251118,33.35,22.23
688571.SH,20251118,9.89,6.59
688570.SH,20251118,23.36,15.58
688569.SH,20251118,27.1,18.06
688568.SH,20251118,49.08,32.72
688567.SH,20251118,21.41,14.27
688566.SH,20251118,36.58,24.38
688565.SH,20251118,13.38,8.92
688563.SH,20251118,64.93,43.29
688562.SH,20251118,22.72,15.14
688561.SH,20251118,46.09,30.73
688560.SH,20251118,18.78,12.52
688559.SH,20251118,65.16,43.44
688558.SH,20251118,34.25,22.83
688557.SH,20251118,44.82,29.88
688556.SH,20251118,12.41,8.27
688553.SH,20251118,25.73,17.15
688552.SH,20251118,44.03,29.35
688551.SH,20251118,47.04,31.36
688550.SH,20251118,57.53,38.35
688549.SH,20251118,11.75,7.83
688548.SH,20251118,15.28,10.18
688545.SH,20251118,44.18,29.46
688543.SH,20251118,61.64,41.1
688539.SH,20251118,43.39,28.93
688538.SH,20251118,3.32,2.22
688536.SH,20251118,196.34,130.9
688535.SH,20251118,118.79,79.19
688533.SH,20251118,32.22,21.48
688531.SH,20251118,74.8,49.86
688530.SH,20251118,21.22,14.14
688529.SH,20251118,23.87,15.91
688528.SH,20251118,14.63,9.75
688526.SH,20251118,19.55,13.03
688525.SH,20251118,159.26,106.18
688523.SH,20251118,33.62,22.42
688522.SH,20251118,45.97,30.65
688521.SH,20251118,188.16,125.44
688520.SH,20251118,59.83,39.89
688519.SH,20251118,76.56,51.04
688518.SH,20251118,30.72,20.48
688517.SH,20251118,20.7,13.8
688516.SH,20251118,51.06,34.04
688515.SH,20251118,119.77,79.85
688513.SH,20251118,68.14,45.42
688512.SH,20251118,13.55,9.03
688511.SH,20251118,27.6,18.4
688510.SH,20251118,28.24,18.82
688509.SH,20251118,6.0,4.0
688508.SH,20251118,70.08,46.72
688507.SH,20251118,113.59,75.73
688506.SH,20251118,440.4,293.6
688505.SH,20251118,10.86,7.24
688503.SH,20251118,67.08,44.72
688502.SH,20251118,408.73,272.49
688501.SH,20251118,32.34,21.56
688500.SH,20251118,82.84,55.22
688499.SH,20251118,70.56,47.04
688498.SH,20251118,632.41,421.61
688496.SH,20251118,8.96,5.98
688489.SH,20251118,55.38,36.92
688488.SH,20251118,17.82,11.88
688486.SH,20251118,79.86,53.24
688485.SH,20251118,19.19,12.79
688484.SH,20251118,50.16,33.44
688480.SH,20251118,63.34,42.22
688479.SH,20251118,24.0,16.0
688478.SH,20251118,42.13,28.09
688475.SH,20251118,36.52,24.34
688472.SH,20251118,24.26,16.18
688469.SH,20251118,8.59,5.73
688468.SH,20251118,10.06,6.7
688466.SH,20251118,24.85,16.57
688459.SH,20251118,11.98,7.98
688458.SH,20251118,46.24,30.82
688456.SH,20251118,55.12,36.74
688455.SH,20251118,20.8,13.86
688450.SH,20251118,35.38,23.58
688449.SH,20251118,60.36,40.24
688448.SH,20251118,58.68,39.12
688443.SH,20251118,34.58,23.06
688439.SH,20251118,70.69,47.13
688435.SH,20251118,63.26,42.18
688433.SH,20251118,70.9,47.26
688432.SH,20251118,16.27,10.85
688429.SH,20251118,20.54,13.7
688428.SH,20251118,29.71,19.81
688426.SH,20251118,40.15,26.77
688425.SH,20251118,6.26,4.18
688420.SH,20251118,31.82,21.22
688419.SH,20251118,33.18,22.12
688418.SH,20251118,35.93,23.95
688416.SH,20251118,75.25,50.17
688411.SH,20251118,433.48,288.98
688410.SH,20251118,19.5,13.0
688409.SH,20251118,79.48,52.98
688408.SH,20251118,61.92,41.28
688403.SH,20251118,17.36,11.58
688401.SH,20251118,55.96,37.3
688400.SH,20251118,43.75,29.17
688399.SH,20251118,76.88,51.26
688398.SH,20251118,23.05,15.37
688396.SH,20251118,57.73,38.49
688395.SH,20251118,31.91,21.27
688393.SH,20251118,31.51,21.01
688392.SH,20251118,126.0,84.0
688391.SH,20251118,37.8,25.2
688390.SH,20251118,75.6,50.4
688389.SH,20251118,16.9,11.26
688388.SH,20251118,47.39,31.59
688387.SH,20251118,8.47,5.65
688386.SH,20251118,84.9,56.6
688385.SH,20251118,70.32,46.88
688383.SH,20251118,77.89,51.93
688382.SH,20251118,32.41,21.61
688381.SH,20251118,28.62,19.08
688380.SH,20251118,38.56,25.7
688379.SH,20251118,56.88,37.92
688378.SH,20251118,29.8,19.86
688377.SH,20251118,47.4,31.6
688376.SH,20251118,57.01,38.01
688375.SH,20251118,84.96,56.64
688373.SH,20251118,8.56,5.7
688372.SH,20251118,107.5,71.66
688371.SH,20251118,25.75,17.17
688370.SH,20251118,30.12,20.08
688369.SH,20251118,29.8,19.86
688368.SH,20251118,117.24,78.16
688367.SH,20251118,29.45,19.63
688366.SH,20251118,61.37,40.91
688365.SH,20251118,16.45,10.97
688363.SH,20251118,61.48,40.98
688362.SH,20251118,36.59,24.39
688361.SH,20251118,150.0,100.0
688360.SH,20251118,23.98,15.98
688359.SH,20251118,100.14,66.76
688358.SH,20251118,40.22,26.82
688357.SH,20251118,45.23,30.15
688356.SH,20251118,108.84,72.56
688355.SH,20251118,23.34,15.56
688353.SH,20251118,164.24,109.5
688352.SH,20251118,15.7,10.46
688351.SH,20251118,27.86,18.58
688350.SH,20251118,26.76,17.84
688349.SH,20251118,32.47,21.65
688348.SH,20251118,79.3,52.86
688347.SH,20251118,135.72,90.48
688345.SH,20251118,44.16,29.44
688343.SH,20251118,85.52,57.02
688339.SH,20251118,42.96,28.64
688338.SH,20251118,32.93,21.95
688337.SH,20251118,47.51,31.67
688336.SH,20251118,84.38,56.26
688335.SH,20251118,25.92,17.28
688334.SH,20251118,24.13,16.09
688333.SH,20251118,90.54,60.36
688332.SH,20251118,169.56,113.04
688331.SH,20251118,107.32,71.54
688330.SH,20251118,46.14,30.76
688329.SH,20251118,27.5,18.34
688328.SH,20251118,31.75,21.17
688327.SH,20251118,17.66,11.78
688326.SH,20251118,115.45,76.97
688325.SH,20251118,101.93,67.95
688323.SH,20251118,18.24,12.16
688322.SH,20251118,93.83,62.55
688321.SH,20251118,34.87,23.25
688320.SH,20251118,44.36,29.58
688319.SH,20251118,27.79,18.53
688318.SH,20251118,155.88,103.92
688317.SH,20251118,27.74,18.5
688316.SH,20251118,74.69,49.79
688315.SH,20251118,17.35,11.57
688314.SH,20251118,40.2,26.8
688313.SH,20251118,93.82,62.54
688312.SH,20251118,35.64,23.76
688311.SH,20251118,39.44,26.3
688310.SH,20251118,19.8,13.2
688309.SH,20251118,31.86,21.24
688308.SH,20251118,37.26,24.84
688307.SH,20251118,48.48,32.32
688306.SH,20251118,13.15,8.77
688305.SH,20251118,72.95,48.63
688303.SH,20251118,36.56,24.38
688302.SH,20251118,56.28,37.52
688301.SH,20251118,124.8,83.2
688300.SH,20251118,66.56,44.38
688299.SH,20251118,22.8,15.2
688298.SH,20251118,33.47,22.31
688297.SH,20251118,58.37,38.91
688296.SH,20251118,19.15,12.77
688295.SH,20251118,33.29,22.19
688293.SH,20251118,68.26,45.5
688292.SH,20251118,25.13,16.75
688291.SH,20251118,36.6,24.4
688290.SH,20251118,67.61,45.07
688289.SH,20251118,25.38,16.92
688288.SH,20251118,36.1,24.06
688287.SH,20251118,6.2,4.14
688286.SH,20251118,91.18,60.78
688285.SH,20251118,11.68,7.78
688283.SH,20251118,39.96,26.64
688282.SH,20251118,60.47,40.31
688281.SH,20251118,81.58,54.38
688280.SH,20251118,10.4,6.94
688279.SH,20251118,212.39,141.59
688278.SH,20251118,91.38,60.92
688277.SH,20251118,20.4,13.6
688276.SH,20251118,27.4,18.26
688275.SH,20251118,120.53,80.35
688273.SH,20251118,43.8,29.2
688272.SH,20251118,30.54,20.36
688271.SH,20251118,160.8,107.2
688270.SH,20251118,70.36,46.9
688269.SH,20251118,47.16,31.44
688268.SH,20251118,70.69,47.13
688267.SH,20251118,34.56,23.04
688266.SH,20251118,121.08,80.72
688265.SH,20251118,52.49,34.99
688262.SH,20251118,35.39,23.59
688261.SH,20251118,82.97,55.31
688260.SH,20251118,34.28,22.86
688259.SH,20251118,48.05,32.03
688258.SH,20251118,74.62,49.74
688257.SH,20251118,32.4,21.6
688256.SH,20251118,1563.72,1042.48
688255.SH,20251118,40.49,26.99
688253.SH,20251118,41.62,27.74
688252.SH,20251118,26.5,17.66
688251.SH,20251118,29.08,19.38
688249.SH,20251118,36.6,24.4
688248.SH,20251118,55.84,37.22
688247.SH,20251118,13.31,8.87
688246.SH,20251118,30.31,20.21
688244.SH,20251118,24.82,16.54
688239.SH,20251118,63.23,42.15
688238.SH,20251118,9.48,6.32
688237.SH,20251118,64.55,43.03
688236.SH,20251118,31.63,21.09
688235.SH,20251118,348.94,232.62
688234.SH,20251118,96.54,64.36
688233.SH,20251118,90.0,60.0
688232.SH,20251118,32.51,21.67
688231.SH,20251118,27.94,18.62
688230.SH,20251118,82.98,55.32
688229.SH,20251118,84.47,56.31
688228.SH,20251118,184.42,122.94
688227.SH,20251118,51.8,34.54
688226.SH,20251118,41.81,27.87
688225.SH,20251118,23.11,15.41
688223.SH,20251118,7.51,5.01
688222.SH,20251118,28.99,19.33
688221.SH,20251118,20.69,13.79
688220.SH,20251118,104.17,69.45
688219.SH,20251118,15.78,10.52
688218.SH,20251118,28.2,18.8
688217.SH,20251118,35.02,23.34
688216.SH,20251118,28.73,19.15
688215.SH,20251118,86.99,57.99
688213.SH,20251118,111.22,74.14
688212.SH,20251118,58.86,39.24
688211.SH,20251118,38.39,25.59
688210.SH,20251118,63.06,42.04
688209.SH,20251118,24.17,16.11
688208.SH,20251118,40.64,27.1
688207.SH,20251118,20.42,13.62
688206.SH,20251118,42.42,28.28
688205.SH,20251118,117.11,78.07
688203.SH,20251118,16.19,10.79
688202.SH,20251118,74.96,49.98
688201.SH,20251118,17.03,11.35
688200.SH,20251118,206.78,137.86
688199.SH,20251118,29.27,19.51
688198.SH,20251118,147.19,98.13
688197.SH,20251118,48.71,32.47
688196.SH,20251118,69.67,46.45
688195.SH,20251118,162.73,108.49
688193.SH,20251118,60.64,40.42
688192.SH,20251118,76.51,51.01
688191.SH,20251118,45.17,30.11
688190.SH,20251118,126.43,84.29
688189.SH,20251118,11.76,7.84
688188.SH,20251118,161.84,107.9
688187.SH,20251118,62.12,41.42
688186.SH,20251118,28.3,18.86
688185.SH,20251118,87.5,58.34
688184.SH,20251118,13.1,8.74
