ts_code,trade_date,adj_factor
000936.SZ,20210322,6.528
000937.SZ,20210322,7.73
000938.SZ,20210322,7.01
000948.SZ,20210322,2.518
000949.SZ,20210322,4.753
000950.SZ,20210322,2.362
000951.SZ,20210322,3.264
000952.SZ,20210322,2.527
000953.SZ,20210322,2.608
000955.SZ,20210322,2.46
000957.SZ,20210322,5.113
000958.SZ,20210322,4.47
000959.SZ,20210322,2.242
000960.SZ,20210322,3.384
000961.SZ,20210322,5.659
000962.SZ,20210322,3.362
000963.SZ,20210322,12.551
000965.SZ,20210322,2.839
000966.SZ,20210322,3.928
000967.SZ,20210322,5.122
000968.SZ,20210322,1.881
000969.SZ,20210322,6.743
000970.SZ,20210322,16.064
000971.SZ,20210322,3.789
000972.SZ,20210322,3.266
000973.SZ,20210322,3.843
000975.SZ,20210322,9.839
000976.SZ,20210322,3.673
000977.SZ,20210322,6.554
000978.SZ,20210322,3.133
000980.SZ,20210322,2.078
000981.SZ,20210322,5.281
000982.SZ,20210322,16.841
000983.SZ,20210322,8.668
000985.SZ,20210322,1.664
000987.SZ,20210322,4.151
000988.SZ,20210322,10.017
000989.SZ,20210322,4.583
000990.SZ,20210322,3.12
000993.SZ,20210322,1.82
000995.SZ,20210322,1.686
000996.SZ,20210322,4.059
000997.SZ,20210322,10.972
000998.SZ,20210322,11.267
000999.SZ,20210322,2.031
001696.SZ,20210322,24.589
001872.SZ,20210322,4.331
001896.SZ,20210322,1.387
001914.SZ,20210322,8.359
001965.SZ,20210322,1.1
001979.SZ,20210322,1.161
002001.SZ,20210322,28.27
002002.SZ,20210322,10.868
002003.SZ,20210322,16.144
002004.SZ,20210322,19.924
002005.SZ,20210322,10.037
002006.SZ,20210322,7.733
002007.SZ,20210322,41.341
002008.SZ,20210322,12.827
002009.SZ,20210322,5.361
002010.SZ,20210322,8.516
002011.SZ,20210322,6.2
002012.SZ,20210322,5.213
002013.SZ,20210322,29.214
002014.SZ,20210322,8.922
002015.SZ,20210322,5.792
002016.SZ,20210322,6.531
002017.SZ,20210322,6.263
002019.SZ,20210322,14.672
002020.SZ,20210322,9.541
002021.SZ,20210322,9.202
002022.SZ,20210322,12.184
002023.SZ,20210322,10.238
002024.SZ,20210322,88.051
002025.SZ,20210322,6.529
002026.SZ,20210322,3.666
002027.SZ,20210322,12.95
002028.SZ,20210322,19.758
002029.SZ,20210322,9.883
002030.SZ,20210322,14.629
002031.SZ,20210322,14.861
002032.SZ,20210322,8.417
002033.SZ,20210322,5.46
002034.SZ,20210322,3.373
002035.SZ,20210322,16.14
002036.SZ,20210322,7.052
002037.SZ,20210322,4.125
002038.SZ,20210322,21.572
002039.SZ,20210322,2.49
002040.SZ,20210322,3.004
002041.SZ,20210322,13.561
002042.SZ,20210322,6.987
002043.SZ,20210322,7.24
002044.SZ,20210322,9.711
002045.SZ,20210322,5.777
002046.SZ,20210322,4.937
002047.SZ,20210322,3.247
002048.SZ,20210322,6.437
002049.SZ,20210322,4.412
002050.SZ,20210322,14.513
002051.SZ,20210322,5.369
002052.SZ,20210322,6.818
002053.SZ,20210322,2.169
002054.SZ,20210322,3.365
002055.SZ,20210322,5.984
002056.SZ,20210322,8.761
002057.SZ,20210322,5.604
002058.SZ,20210322,2.386
002059.SZ,20210322,2.121
002060.SZ,20210322,3.89
002061.SZ,20210322,2.234
002062.SZ,20210322,9.641
002063.SZ,20210322,10.168
002064.SZ,20210322,11.161
002065.SZ,20210322,30.857
002066.SZ,20210322,3.162
002067.SZ,20210322,2.755
002068.SZ,20210322,5.736
002069.SZ,20210322,6.663
002072.SZ,20210322,1.107
002073.SZ,20210322,9.219
002074.SZ,20210322,4.508
002075.SZ,20210322,2.839
