date,equity,cash,n_pos
20200624,442604.401567409,415097.2127339095,2
20200629,442045.9781880253,392666.6722628312,3
20200630,442933.7075980625,392822.3683456622,3
20200701,441610.13716107025,409719.77070055157,3
20200702,440592.6586145815,413176.3283057012,2
20200703,439524.9153653812,411082.9308993618,2
20200706,441786.2542038323,327557.88892997254,6
20200707,439563.6448560134,391591.2717544601,3
20200708,440000.5310882811,368918.4831364757,4
20200709,438171.738001867,388795.0570456439,3
20200710,437105.0903494384,409861.0109101861,2
20200713,436211.8966449246,407799.62044984975,2
20200714,436013.92618684395,408724.0577961129,2
20200715,434969.4583784199,407743.69451975904,2
20200716,433873.75822796545,406814.666152687,2
20200717,432851.60370527743,426331.60370527743,1
20200720,432423.3240887645,319884.46289687144,6
20200721,432158.640946568,383957.55606908986,3
20200722,431161.6642840046,404078.7619539572,2
20200723,431230.7809906811,402094.9465145826,2
20200724,431748.3864136132,425228.3864136132,1
20200727,431766.86155629955,324932.54882423196,6
20200728,435444.2502884896,325558.0110093566,6
20200729,434928.38483735244,405511.5383591006,3
20200730,434787.6704267809,428267.6704267809,1
20200731,434787.6704267809,428267.6704267809,1
20200803,434787.6704267809,428267.6704267809,1
20200804,434787.6704267809,428267.6704267809,1
20200805,434787.6704267809,428267.6704267809,1
20200806,434787.6704267809,428267.6704267809,1
20200807,434601.25986221246,406804.71216591133,2
20200810,434506.5466701811,385792.6969874461,3
20200811,432637.8336984477,345821.5309701489,5
20200812,426471.25332410564,180995.18511647958,13
20200813,426123.6229300965,330137.80164372997,15
20200814,426354.4662572357,382083.26125650585,3
20200817,429779.6488898665,419999.6981904336,1
20200818,429276.0607032412,429276.0607032412,0
20200819,429276.0607032412,429276.0607032412,0
20200820,429465.63356604386,409705.5220473351,1
20200821,429425.776237964,392710.3896557632,2
20200824,430442.7898406184,368957.2103285766,3
20200825,430043.5120100716,430043.5120100716,0
20200826,427103.69085367594,328109.16197764553,5
20200827,430110.21958249464,128935.89754038109,23
20200828,430967.64581706485,290856.44855324464,25
20200831,432770.18330779695,407130.1176316248,3
20200901,432880.4979559976,378116.1012640825,3
20200902,430965.5305025779,292346.3244906754,7
20200903,429422.9499178718,349781.8991756582,5
20200904,429686.8244010658,351917.4676529546,4
20200907,429169.6852243372,366377.73226523463,3
20200908,427828.54759859585,207588.1862147433,30
20200909,417374.67405242583,184679.53752859565,37
20200910,413525.2323219546,124641.32910177376,48
20200911,422863.15805115993,46157.65124352454,58
20200914,422860.8983730765,31929.7823303475,70
20200915,428639.1539329519,45646.13050136083,71
20200916,421905.33444728993,118242.86721800402,75
20200917,422222.7098863959,116348.92677486771,76
20200918,426812.77026910975,187328.53493907477,76
20200921,426609.2605848205,400019.33619819785,10
20200922,425246.5634688071,397169.8981102353,4
20200923,427573.3972636954,207947.9980708585,12
20200924,423102.86611909064,334953.9946723725,6
20200925,418425.6185699207,164528.42537544196,13
20200928,414303.4585635067,91733.57554860822,31
20200929,417860.1077720147,81861.29638211537,47
20200930,416130.42612445744,52442.59650356302,55
20201009,428390.83406682254,777.4441314288297,68
20201012,438551.56607545965,176756.11385994963,65
20201013,438113.0918049395,411494.46047492337,7
20201014,437645.0124346305,436933.8233388858,1
20201015,437493.5061352531,373493.25790852285,3
20201016,437312.9891126669,375657.80678044807,3
20201019,435874.0327362404,331734.54591403547,5
20201020,438307.2956437676,164335.62427722412,13
20201021,436127.315224927,371651.4187412927,14
20201022,434826.9601184978,204482.6201029262,11
20201023,431988.3000110025,309248.56647309574,15
20201026,431000.5130327728,225186.47636283864,10
20201027,431939.0127476928,286934.92616108246,15
20201028,430965.8876404903,232245.96653601926,21
20201029,430011.55223580543,268041.9650703154,24
20201030,421602.5331592377,159686.01169174525,31
20201102,420130.60258113843,42919.1598554994,47
20201103,432091.2079072138,27402.58651574459,59
20201104,429407.6545361192,224335.7851647163,58
20201105,433515.93772477354,227171.87610818387,61
20201106,433083.85592790844,426381.5926760757,3
20201109,436241.3670283365,313193.88401510083,6
20201110,438713.9968882257,396844.55495288357,2
20201111,436751.21118169796,352732.1874066476,4
20201112,435256.7975855479,272380.97323726973,8
20201113,435120.1527775384,293364.2480098372,8
20201116,434775.52473430865,392900.26558419934,2
20201117,430855.2520748214,199412.8689139355,20
20201118,432672.85460148926,111682.16822665487,37
20201119,438266.6636474834,153494.1223780554,44
20201120,437304.8336422463,303457.54013997974,43
20201123,436554.60063716455,424788.0440574426,7
20201124,438918.029689947,374480.8446844977,6
20201125,437811.736211728,395347.9990686753,3
20201126,437068.76052859356,375589.09529253625,3
20201127,435565.5456245679,236762.49077965657,10
20201130,436736.6505181886,281809.73173959536,8
20201201,437865.7444717413,311966.13203140884,6
20201202,436221.2935559857,416182.1995719316,1
20201203,436288.08538115263,393197.52445445367,2
20201204,435407.1561645016,395785.84232718725,2
20201207,435111.60095231916,414702.0363231817,1
20201208,434834.1712019724,395514.9489939236,2
20201209,433858.2374222894,355587.91404148657,4
20201210,434598.2796486324,162755.69177697843,19
20201211,426966.2107024793,59815.89893638335,30
20201214,434222.9586207679,31101.653872305025,50
20201215,431627.4445076603,142218.17602242582,54
20201216,423823.80303061474,100113.06682754452,62
20201217,429382.63985866576,49762.084739624115,74
20201218,427348.79854128434,186934.7089690345,74
20201221,428162.1449037947,205700.9365066058,74
20201222,422863.3468960027,317125.91946220485,15
20201223,419609.3577980146,118787.17742740261,38
20201224,408116.7555342381,163123.74571707155,41
20201225,411242.3487783411,112071.54995366078,53
20201228,403759.9953805622,57483.78552657566,74
20201229,407774.2335965739,31538.776541422638,76
20201230,406613.19432735635,24677.273582109596,88
20201231,414137.1610543453,2914.684898080077,100
20210104,417592.482243824,142147.981455602,102
20210105,417153.9765321294,173227.95634521588,103
20210106,412061.21313416463,147401.39687064313,100
20210107,398290.14374597283,129189.78016048761,98
20210108,399609.9919450436,113099.76527422282,86
20210111,392318.55861878104,88706.75583104143,88
20210112,392545.04397573555,46543.619796498606,97
20210113,383608.4265485654,25459.239963621738,96
20210114,384699.2543457816,7424.7236726148085,96
20210115,395904.6687870471,406.3773736295343,104
20210118,400548.9418405278,162076.39225621824,102
20210119,400222.87782140146,390532.2931271324,9
20210120,400866.5606823247,340029.0732200259,5
20210121,400670.43617297115,343454.24157331797,4
20210122,400440.2793932732,400440.2793932732,0
20210125,397461.4480223787,343448.1107771751,3
20210126,398500.45808512834,119439.02194551851,22
20210127,398605.20262317103,48790.14542993867,37
20210128,396650.93080422387,31495.645321872496,50
20210129,386411.2217426507,37716.3844283601,61
20210201,383259.2520975358,45316.2029523693,68
20210202,385207.6215280513,24590.2929948777,81
20210203,374674.00880050374,14782.326949171545,90
20210204,368829.7809803012,23850.0227718062,85
20210205,363022.8072617702,13279.678625114433,86
20210208,358701.8402631389,14828.257538765603,87
20210209,367107.7133465769,29796.49228574817,90
20210210,367591.04232081067,39021.108731697954,98
20210218,381272.84827873606,12547.44904283166,100
20210219,389178.5840534074,172898.34979441913,84
20210222,388586.61002868385,354800.08014126355,8
20210223,390315.0961109989,320914.59288331465,5
20210224,388370.0768958606,339447.48905907205,4
20210225,387011.0665962119,291459.8508527367,7
20210226,385636.26132386766,236723.22305800527,10
20210301,389070.15635145275,161520.2841943777,22
20210302,386190.8901252828,186464.43035826733,25
20210303,392241.50602796307,127320.679553436,29
20210304,384441.22160182125,196930.42189396216,28
20210305,388113.06236568146,178444.57467271926,30
20210308,380762.79969003215,213327.76271791372,26
20210309,375895.28278289473,223255.4284173863,26
20210310,378515.31057457713,231097.37756384135,26
20210311,384207.3169790514,180816.8129527072,36
20210312,383059.54281675536,169085.2391790516,39
20210315,379088.8408072654,146612.0223559397,43
20210316,378606.36641290237,90267.84447503033,51
20210317,382994.67340159445,108004.83815375647,50
20210318,386047.9712513807,167801.16169394364,49
20210319,381836.0598054773,153666.08207603265,49
20210322,386062.31560775894,92993.58010914321,54
20210323,382880.6599202791,168267.19739010878,46
20210324,376346.1459351789,100692.26293406825,51
20210325,379556.6698378084,57837.58419861907,61
