date,equity,cash,n_pos
20200805,1000000.0,1000000.0,0
20200806,1000000.0,1000000.0,0
20200807,1000000.0,1000000.0,0
20200810,1000000.0,1000000.0,0
20200811,1000000.0,1000000.0,0
20200812,1000000.0,1000000.0,0
20200813,1000000.0,1000000.0,0
20200814,1000000.0,1000000.0,0
20200817,1000000.0,1000000.0,0
20200818,1000000.0,1000000.0,0
20200819,1000000.0,1000000.0,0
20200820,1000000.0,1000000.0,0
20200821,1000000.0,1000000.0,0
20200824,1000000.0,1000000.0,0
20200825,1000000.0,1000000.0,0
20200826,1000000.0,1000000.0,0
20200827,1000000.0,1000000.0,0
20200828,1000000.0,1000000.0,0
20200831,1000000.0,1000000.0,0
20200901,1000000.0,1000000.0,0
20200902,1000000.0,1000000.0,0
20200903,1000000.0,1000000.0,0
20200904,1000000.0,1000000.0,0
20200907,1000000.0,1000000.0,0
20200908,1000000.0,1000000.0,0
20200909,1000000.0,1000000.0,0
20200910,1000000.0,1000000.0,0
20200911,1000000.0,1000000.0,0
20200914,1000000.0,1000000.0,0
20200915,1000000.0,1000000.0,0
20200916,1000000.0,1000000.0,0
20200917,1000000.0,1000000.0,0
20200918,1000000.0,1000000.0,0
20200921,1000000.0,1000000.0,0
20200922,1000000.0,1000000.0,0
20200923,1000000.0,1000000.0,0
20200924,1000000.0,1000000.0,0
20200925,1000000.0,1000000.0,0
20200928,1000000.0,1000000.0,0
20200929,1000000.0,1000000.0,0
20200930,1000000.0,1000000.0,0
20201009,1000000.0,1000000.0,0
20201012,1000000.0,1000000.0,0
20201013,1000000.0,1000000.0,0
20201014,1000000.0,1000000.0,0
20201015,1000000.0,1000000.0,0
20201016,1000000.0,1000000.0,0
20201019,1000000.0,1000000.0,0
20201020,1000000.0,1000000.0,0
20201021,1000000.0,1000000.0,0
20201022,1000000.0,1000000.0,0
20201023,1000000.0,1000000.0,0
20201026,1000000.0,1000000.0,0
20201027,1000000.0,1000000.0,0
20201028,1000000.0,1000000.0,0
20201029,1000000.0,1000000.0,0
20201030,1000000.0,1000000.0,0
20201102,1000000.0,1000000.0,0
20201103,992806.0545305825,412708.3444434299,14
20201104,1000527.931666147,412708.3444434299,14
20201105,1018621.4382044662,412708.3444434299,14
20201106,1027000.0586129907,412708.3444434299,14
20201109,1043645.263375946,412708.3444434299,14
20201110,1029293.7342769488,412708.3444434299,14
20201111,1020544.3879968771,412708.3444434299,14
20201112,1034856.3769404355,412708.3444434299,14
20201113,1029927.5295387756,446953.1568649804,13
20201116,1047387.1902698189,446953.1568649804,13
20201117,1043481.5265408603,446953.1568649804,13
20201118,1041898.2483408306,446953.1568649804,13
20201119,1040487.1482393026,446953.1568649804,13
20201120,1047797.8538694619,446953.1568649804,13
20201123,1068388.0996704032,446953.1568649804,13
20201124,1060330.8711293347,446953.1568649804,13
20201125,1050159.4196822455,485728.7856295196,12
20201126,1033307.8451543177,485728.7856295196,12
20201127,1045163.1350164214,485728.7856295196,12
20201130,1040437.9205503454,550952.6204056196,11
20201201,1051546.5635567675,550952.6204056196,11
20201202,1051245.9236825376,480996.47827603045,20
20201203,1041401.0114180731,494172.84270460287,19
20201204,1043162.6874262099,494172.84270460287,19
20201207,1050470.8130679862,494172.84270460287,19
20201208,1048233.1844914629,494172.84270460287,19
20201209,1037332.9815234334,494172.84270460287,19
20201210,1024671.3438271213,580067.3378359824,14
20201211,1012155.8051144506,610900.3785355183,13
20201214,1010233.4192788089,743861.1348117596,9
20201215,1012134.9253710525,781242.5844057748,8
20201216,1008068.1261359954,781242.5844057748,8
20201217,1008592.7425485238,795696.2398912173,7
20201218,1009651.2608621081,828920.5780804091,6
20201221,1018587.8940714631,828920.5780804091,6
20201222,1012180.1496333596,828920.5780804091,6
20201223,1016015.5552947647,828920.5780804091,6
20201224,1011751.3903564275,828920.5780804091,6
20201225,1012852.6597370643,874767.1595065091,5
20201228,1012395.9319499504,874767.1595065091,5
20201229,1009715.1930005905,919146.2155680413,3
20201230,1013509.8754563008,919146.2155680413,3
20201231,1016458.9439457397,919146.2155680413,3
20210104,1021503.495887005,919146.2155680413,3
20210105,1020957.1088132919,475136.2954587127,30
20210106,1018381.9162448643,475136.2954587127,30
20210107,1027829.660675408,475136.2954587127,30
20210108,1015592.5932698492,475136.2954587127,30
20210111,1004307.3743071522,475136.2954587127,30
20210112,1011023.32372841,498754.2659490586,28
20210113,1000304.4664712058,514749.61218824657,27
20210114,984747.8867173448,546742.8256115109,25
20210115,982326.3034013133,546742.8256115109,25
20210118,991513.1398697173,562351.047989543,24
20210119,981650.453319711,562351.047989543,24
20210120,989242.9825201915,590469.8584342612,22
20210121,991602.8569325105,590469.8584342612,22
20210122,993967.190609464,590469.8584342612,22
20210125,996525.3856406984,617025.4584572554,20
20210126,978435.302922125,634732.7969720521,19
20210127,976400.7659999491,721978.0746667075,15
20210128,969774.3632763858,721978.0746667075,15
20210129,967311.0793835677,761861.8679480071,12
20210201,969741.7001553173,794468.9414080572,10
20210202,972713.1855201323,587669.0392448766,8
20210203,962762.0323970752,587669.0392448766,8
20210204,958162.5140199548,628219.7788663087,7
20210205,939907.27301453,628219.7788663087,7
20210208,950786.5950096314,708618.5178624633,5
20210209,960087.369481565,708618.5178624633,5
20210210,962060.9548095035,708618.5178624633,5
20210218,966450.5968247704,708618.5178624633,5
20210219,963887.3569413874,708618.5178624633,5
20210222,961423.1856372356,708618.5178624633,5
20210223,962300.2230666329,708618.5178624633,5
20210224,950691.9805420296,708618.5178624633,5
20210225,941766.4409319283,708618.5178624633,5
20210226,938034.4675925157,708618.5178624633,5
20210301,946745.847286148,750946.5352906401,4
20210302,943115.2815934164,522383.5331706769,9
20210303,952107.8391960149,522383.5331706769,9
20210304,948211.4007954423,522383.5331706769,9
20210305,937457.6344546783,522383.5331706769,9
20210308,935697.1042498365,522383.5331706769,9
20210309,924012.2673492088,522383.5331706769,9
20210310,920809.6061791271,522383.5331706769,9
20210311,927922.4180725052,571304.0634220117,8
20210312,932355.5285478041,571304.0634220117,8
20210315,939874.4217421833,571304.0634220117,8
20210316,942770.4000822033,571304.0634220117,8
20210317,942384.2313704623,571304.0634220117,8
20210318,947352.2563229094,571304.0634220117,8
20210319,945402.289800653,610368.1010154203,7
20210322,956687.6573309052,610368.1010154203,7
20210323,947585.6795061716,610368.1010154203,7
20210324,935723.8721970803,610368.1010154203,7
20210325,936859.2763931263,610368.1010154203,7
20210326,944561.851616965,610368.1010154203,7
20210329,951817.8725377994,610368.1010154203,7
20210330,947162.6814285468,610368.1010154203,7
20210331,943935.799760247,610368.1010154203,7
